owner,state,county,named_account,match_reason,name_overlap,score,n_opps,value_total,match_confidence
Salt River Project,AZ,Maricopa,SALT RIVER PROJECT,name similarity — one side has no governance signal,1.0,28.3,3,24165000.0,similar name (assumed blocked)
County of Sacramento,CA,Sacramento,Sacramento Regional County Sanitation District; CITY OF SACRAMENTO; City of Sacramento; SACRAMENTO MUNICIPAL UTILITY,name similarity — several agencies share this place name; name overlap only 40%,0.4,25.3,2,636372.0,similar name (assumed blocked)
City of Flagstaff,AZ,Coconino,CITY OF FLAGSTAFF,place + governance match (100% overlap),1.0,25.0,2,4222403.0,confident
Long Beach Utilities,CA,Los Angeles,LONG BEACH WATER DEPARTMENT; CITY OF LONG BEACH WATER DIST,name similarity — several agencies share this place name; name overlap only 40%,0.4,24.5,3,1743000.0,similar name (assumed blocked)
San Francisco Water Power Sewer,CA,County of San Francisco,SAN FRANCISCO WATER DEPT; CITY OF SAN FRANCISCO; CITY & COUNTY OF SAN FRANCISCO; SAN FRANCISCO CITY & COUNTY,name similarity — several agencies share this place name; name overlap only 50%,0.5,24.0,1,6000000.0,similar name (assumed blocked)
Los Angeles County Department of Public Works,CA,Los Angeles,LOS ANGELES COUNTY SANITATION DISTR; CITY OF LOS ANGELES; CITY OF LOS ANGELES/ WATER & POWER,name similarity — several agencies share this place name; name overlap only 43%,0.43,24.0,2,1500000.0,similar name (assumed blocked)
City of Malibu,CA,Los Angeles,CITY OF MALIBU,place + governance match (100% overlap),1.0,23.6,1,2300000.0,confident
Mission Springs Water District,CA,Riverside,MISSION SPRINGS WATER DISTRICT,place + governance match (100% overlap),1.0,23.0,2,977040.0,confident
City of South San Francisco,CA,San Mateo,CITY OF SOUTH SAN FRANCISCO,place + governance match (100% overlap),1.0,21.7,2,3350000.0,confident
County of Orange,CA,Orange,ORANGE COUNTY SANITATION; ORANGE COUNTY WATER DISTRICT; CITY OF ORANGE,name similarity — several agencies share this place name; name overlap only 67%,0.67,20.7,1,5826000.0,similar name (assumed blocked)
City of Patterson,CA,Stanislaus,City of Patterson,place + governance match (100% overlap),1.0,19.1,1,30000.0,confident
East Valley Water District,CA,San Bernardino,EAST VALLEY WATER DISTRICT,place + governance match (100% overlap),1.0,19.0,1,0.0,confident
Modesto Irrigation District,CA,Stanislaus,CITY OF MODESTO,name similarity — governance mismatch (special vs muni),0.25,19.0,2,500000.0,similar name (assumed blocked)
City of San Bernardino,CA,San Bernardino,CITY OF SAN BERNARDINO WATER DEPT.; SAN BERNARDINO MUNICIPAL WATER DEPT,name similarity — several agencies share this place name; name overlap only 60%,0.6,17.6,1,4300000.0,similar name (assumed blocked)
City of Phoenix,OR,Jackson,CITY OF PHOENIX,name similarity — same name matched in 2 states; kept AZ as the larger agency,1.0,16.0,1,10000.0,similar name (assumed blocked)
Sweetwater Authority,CA,San Diego,SWEETWATER AUTHORITY,place + governance match (100% overlap),1.0,15.2,2,610900.0,confident
Diablo Water District,CA,Contra Costa,DIABLO WATER DISTRICT,place + governance match (100% overlap),1.0,15.0,2,0.0,confident
County of San Diego,CA,San Diego,SAN DIEGO COUNTY WATER AUTH.; SAN DIEGO COUNTY WATER AUTHORITY; CITY OF SAN DIEGO; CITY OF SAN DIEGO WATER/WASTEWATER,name similarity — several agencies share this place name; name overlap only 60%,0.6,14.6,1,1300000.0,similar name (assumed blocked)
Municipal Water District of Orange County,CA,Municipal Water District of Orange,ORANGE COUNTY WATER DISTRICT,name similarity — 'ORANGE COUNTY WATER DISTRICT' matched better to 'Orange County Water District'; these are different agencies,0.8,12.0,1,0.0,similar name (assumed blocked)
Navajo Tribal Utility Authority,AZ,Unspecified,NAVAJO TRIBAL UTILITY AUTHORITY,place + governance match (100% overlap),1.0,9.0,1,0.0,confident
County of Riverside,CA,Riverside,CITY OF RIVERSIDE,name similarity — governance mismatch (county vs muni),0.33,9.0,1,0.0,similar name (assumed blocked)
West Basin Municipal Water District,CA,Los Angeles,WEST BASIN MUNICIPAL WATER DISTRICT,place + governance match (100% overlap),1.0,9.0,1,0.0,confident
City of Alameda,CA,Alameda,ALAMEDA COUNTY WATER DISTRICT,name similarity — governance mismatch (muni vs county/special),0.2,9.0,1,0.0,similar name (assumed blocked)
San Diego County Water Authority,CA,San Diego,SAN DIEGO COUNTY WATER AUTH.,place + governance match (100% overlap),1.0,6.1,1,50000.0,confident
Golden State Water Company,CA,Los Angeles,GOLDEN STATE WATER,place + water domain match (100% overlap),1.0,3.0,1,0.0,confident
Encina Wastewater Authority,CA,San Diego,ENCINA WASTEWATER AUTHORITY,place + governance match (100% overlap),1.0,2.0,1,0.0,confident
