crwa_org,outcome,detail
City of Corcoran,no confident match - own pin,"parsed at Corcoran, CA 93212"
City of Corning,matched -> City of Corning (CA),"place + governance match (100% overlap), 100% overlap"
City of Delano,no confident match - own pin,"parsed at Delano, CA 93215"
City of Dinuba,matched -> City of Dinuba (CA),"place + governance match (100% overlap), 100% overlap"
City of Dorris,no confident match - own pin,"parsed at Dorris, CA 96023"
City of Dunsmuir,matched -> City of Dunsmuir (CA),"place + governance match (100% overlap), 100% overlap"
City of Etna,no confident match - own pin,"parsed at Etna, CA 96027"
City of Exeter,matched -> City of Exeter (CA),"place + governance match (100% overlap), 100% overlap"
City of Ferndale,no confident match - own pin,"parsed at Ferndale, CA 95536"
City of Firebaugh,matched -> City of Firebaugh (CA),"place + governance match (100% overlap), 100% overlap"
City of Fowler,no confident match - own pin,"parsed at Fowler, CA 93625"
City of Galt,matched -> City of Galt (CA),"place + governance match (100% overlap), 100% overlap"
City of Gonzales,matched -> City of Gonzales (CA),"place + governance match (100% overlap), 100% overlap"
City of Grass Valley,matched -> City of Grass Valley (CA),"place + governance match (100% overlap), 100% overlap"
City of Gridley,no confident match - own pin,"parsed at Gridley, CA 95948"
City of Grover Beach,matched -> City of Grover Beach (CA),"place + governance match (100% overlap), 100% overlap"
City of Hanford,matched -> City of Hanford (CA),"place + governance match (100% overlap), 100% overlap"
City of Hemet,matched -> City of Hemet (CA),"place + governance match (100% overlap), 100% overlap"
City of Hollister,no confident match - own pin,"parsed at Hollister, CA 95023"
City of Imperial,no confident match - own pin,"parsed at Imperial, CA 92251"
City of Jackson,no confident match - own pin,"parsed at Jackson, CA 95642"
City of Kerman,matched -> City of Kerman (CA),"place + governance match (100% overlap), 100% overlap"
City of Lakeport Water Department,no confident match - own pin,"parsed at Lakeport, CA 95453"
City of Lindsay,matched -> City of Lindsay (CA),"place + governance match (100% overlap), 100% overlap"
City of Lodi Public Works Department,no confident match - own pin,"parsed at Lodi, CA 95242"
City of Lompoc,matched -> City of Lompoc (CA),"place + governance match (100% overlap), 100% overlap"
City of Los Banos Public Works Department,matched -> City of Los Banos (CA),"place + governance match (60% overlap), 60% overlap"
City of Madera,matched -> City of Madera (CA),"place + governance match (100% overlap), 100% overlap"
City of Manteca,matched -> City of Manteca (CA),"place + governance match (100% overlap), 100% overlap"
City of McFarland,matched -> City of McFarland (CA),"place + governance match (100% overlap), 100% overlap"
City of Merced Water Department,no confident match - own pin,"parsed at Merced, CA 95340"
City of Modesto,matched -> City of Modesto (CA),"place + governance match (100% overlap), 100% overlap"
City of Montague,no confident match - own pin,"parsed at Montague, CA 96064"
City of Mount Shasta,no confident match - own pin,"parsed at Mt. Shasta, CA 96067"
"City of Napa, Water Division",no confident match - own pin,"parsed at Napa, CA 94559"
City of Nevada City,no confident match - own pin,"parsed at Nevada City, CA 95959"
City of Newman Water Department,no confident match - own pin,"parsed at Newman, CA 95360"
City of Oakdale,matched -> City of Oakdale (CA),"place + governance match (100% overlap), 100% overlap"
City of Orland,matched -> City of Orland (CA),"place + governance match (100% overlap), 100% overlap"
City of Paso Robles,no confident match - own pin,"parsed at Paso Robles, CA 93446"
City of Patterson,matched -> City of Patterson (CA),"place + governance match (100% overlap), 100% overlap"
City of Pismo Beach,matched -> City of Pismo Beach (CA),"place + governance match (100% overlap), 100% overlap"
City of Portola,no confident match - own pin,"parsed at Portola, CA 96122"
City of Red Bluff,no confident match - own pin,"parsed at Red Bluff, CA 96080"
City of Redding,matched -> City of Redding (CA),"place + governance match (100% overlap), 100% overlap"
City of Rio Dell,no confident match - own pin,"parsed at Rio Dell, CA 95562"
City of Rio Vista,no confident match - own pin,"parsed at Rio Vista, CA 94571"
City of Riverbank,matched -> City of Riverbank (CA),"place + governance match (100% overlap), 100% overlap"
