named_account,outcome,looks_like_water,looks_like_municipal
MARTIN MARIETTA,no water match,False,False
MARTIN/SPANISH SPRINGS QUARRY,no water match,False,False
MESA CONSOLIDATED WATER,no water match,True,False
METRO WASTE WATER,no water match,True,False
METRO WASTEWATER RECLAMATI,no water match,True,False
METROPOLITAN WATER DISTRICT,no water match,True,True
"MICROCHIP TECHNOLOGY, INC.",no water match,False,False
MICRON SYSTEMS INTEGRATION,no water match,False,False
MICRON TECHNOLOGY,no water match,False,False
MICRON TECHNOLOGY INC,no water match,False,False
MILLERCOORS - IRWINDALE,no water match,False,False
MILLERCOORS - IRWINDALE SDI,no water match,False,False
"MILLERCOORS IRWINDALE, CA",no water match,False,False
MISSION SPRINGS WATER DISTRICT,matched,True,True
MISSOULA WWTP,no water match,True,False
MONSANTO,no water match,False,False
MONSANTO CHEMICAL CO,no water match,False,True
MONTEREY ON WATER,no water match,True,False
MOSAIC POTASH,no water match,False,False
Montana Resources,no water match,False,False
Morton Salt,no water match,False,False
NAPA SANITATION DISTRICT,matched,True,True
NAVAJO TRIBAL UTILITY AUTHORITY,matched,False,True
NESTLE POWER FOODS,no water match,False,False
NESTLES FOOD,no water match,False,False
NEVADA CEMENT COMPANY,no water match,False,False
NEVADA COPPER,no water match,False,False
NEVADA GOLD MINES,no water match,False,False
NEVADA GOLD MINES LLC,no water match,False,False
NEVADA IRRIGATION DISTRICT,matched,True,True
NEWMONT ELKO WAREHOUSE,no water match,False,False
NEWMONT GOLD CO,no water match,False,True
NEWMONT MINING,no water match,False,False
NEWMONT MINING CORP,no water match,False,False
NIAGARA BOTTLING,no water match,False,False
"NIAGARA BOTTLING - LOS LUNAS, NM",no water match,False,False
NIAGARA BOTTLING COMPANY,no water match,False,False
NIAGARA BOTTLING LLC,no water match,False,False
NORTH DAVIS SEWER DIST,no water match,True,True
NORTHERN COLORADO WATER CONSERVANCY,no water match,True,False
NORTHERN DIGITAL,no water match,False,False
NUCOR BUILDING SYSTEMS,no water match,False,False
OLAM WEST COAST,no water match,False,False
OMYA (CALIF) INC.,no water match,False,False
OMYA ARIZONA,no water match,False,False
ONE WORLD BEEF,no water match,False,False
ORANGE COUNTY SANITATION,matched,True,True
ORANGE COUNTY WATER DISTRICT,matched,True,True
OVIVO,no water match,False,False
OVIVO USA,no water match,False,False
OWENS-ILLINOIS GLASS CONTAINER,no water match,False,False
OXBOW FISH HATCHERY,no water match,False,False
OXNARD (CITY OF),no water match,False,True
OXNARD CITY PURCHASING,no water match,False,True
PACIFICORP,no water match,False,False
PADRE DAM MUNICIPAL WATER,no water match,True,False
PADRE DAM MUNICIPAL WATER DISTRICT,no water match,True,True
PCC STRUCTURALS,no water match,False,False
PEET'S COFFEE & TEA - HQ,no water match,False,False
PIC-BARRICK WESTERN 102,no water match,False,False
PILGRIM'S PRIDE CORPORATION,no water match,False,False
PIMA COUNTY WASTE WATER DEPT.,no water match,True,True
PIMA CTY WASTE WATER TREATMENT FAC,no water match,True,True
PIMA UTILITIES,no water match,False,False
PINTO VALLY MINE,no water match,False,False
PLAINS EXPLORATION,no water match,False,False
PLANTEL NURSERY,no water match,False,False
PORT OF SEATTLE,no water match,False,False
PORT OF SEATTLE COMMISSIONERS,no water match,False,False
PORTLAND GENERAL ELECTRIC,no water match,False,False
PORTLAND GENERAL ELECTRIC CO,no water match,False,True
PORTLAND WATER BUREAU,no water match,True,False
POST CONSUMER BRANDS INC,no water match,False,False
POST HOLDINGS,no water match,False,False
POWER BAR,no water match,False,False
PRIME CONTROLS,no water match,False,False
PRIMEX,no water match,False,False
PRISM PROFESSIONAL SERVICES,no water match,False,False
PUEBLO WEST METROPOLITAN DISTRICT,no water match,False,True
QUANTUM INTEGRATED SOLUTIONS,no water match,False,False
QUEEN CREEK,no water match,False,False
QWEST BUCKEYE,no water match,False,False
RALSTON FOODS CO.,no water match,False,True
RANCHO CALIFORNIA WATER DIST,matched,True,True
RANCHO CALIFORNIA WATER DISTRICT,no water match,True,True
REC ADVANCED SILICON MATERIALS LLC,no water match,False,False
REC SILICON,no water match,False,False
RED BULL,no water match,False,False
RED BULL LAGERHAUS,no water match,False,False
RELIABLE CONTROLS,no water match,False,False
RENO STEAD WASTE WATER TREATMENT PL,no water match,True,False
RESER'S FINE FOOD,no water match,False,False
RESER'S FINE FOODS,no water match,False,False
RESERS FINE FOODS,no water match,False,False
RESOLUTION COPPER WEST PLANT,no water match,False,False
